game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season,season_start,opp_team_id,opp_pts,point_margin,spread,price,moneyline_price
21600745,2017-02-02,GSW @ LAC,1610612746,t,L,31.0,19.0,0.62,40.0,80.0,0.5,10.0,25.0,0.4,30.0,39.0,9.0,28.0,37,24.0,7.0,7.0,15.0,18.0,120,1610612744,2016,Regular Season,2016-17,2016,1610612744,133,-13,-7.5,-101.0,292.0
21600739,2017-02-01,PHX vs. LAC,1610612746,f,W,31.0,18.0,0.633,44.0,85.0,0.518,5.0,19.0,0.263,31.0,38.0,8.0,38.0,46,20.0,9.0,8.0,10.0,28.0,124,1610612756,2016,Regular Season,2016-17,2016,1610612756,114,10,2.5,-100.0,-130.0
21600675,2017-01-24,PHI vs. LAC,1610612746,f,L,30.0,17.0,0.638,33.0,71.0,0.465,18.0,34.0,0.529,26.0,41.0,11.0,35.0,46,17.0,4.0,1.0,17.0,22.0,110,1610612755,2016,Regular Season,2016-17,2016,1610612755,121,-11,4.5,-100.0,-180.0
21600667,2017-01-23,ATL vs. LAC,1610612746,f,W,30.0,16.0,0.652,42.0,84.0,0.5,14.0,24.0,0.583,17.0,22.0,10.0,36.0,46,23.0,4.0,8.0,11.0,19.0,115,1610612737,2016,Regular Season,2016-17,2016,1610612737,105,10,-7.0,102.0,273.0
21600601,2017-01-14,LAL @ LAC,1610612746,t,W,28.0,14.0,0.667,48.0,92.0,0.522,10.0,28.0,0.357,7.0,8.0,7.0,35.0,42,28.0,6.0,6.0,7.0,24.0,113,1610612747,2016,Regular Season,2016-17,2016,1610612747,97,16,11.5,-100.0,-650.0
21600519,2017-01-02,PHX @ LAC,1610612746,t,W,23.0,14.0,0.622,37.0,80.0,0.463,7.0,16.0,0.438,28.0,38.0,12.0,39.0,51,17.0,1.0,11.0,19.0,21.0,109,1610612756,2016,Regular Season,2016-17,2016,1610612756,98,11,4.5,-104.0,-185.0
21401203,2015-04-13,DET @ CLE,1610612739,t,W,52.0,29.0,0.642,43.0,85.0,0.506,17.0,32.0,0.531,6.0,12.0,13.0,32.0,45,30.0,5.0,7.0,10.0,19.0,109,1610612765,2014,Regular Season,2014-15,2014,1610612765,97,12,8.0,-103.0,-353.0
21401178,2015-04-10,BOS @ CLE,1610612739,t,L,51.0,28.0,0.646,32.0,77.0,0.416,9.0,34.0,0.265,17.0,25.0,12.0,30.0,42,25.0,4.0,2.0,20.0,21.0,90,1610612738,2014,Regular Season,2014-15,2014,1610612738,99,-9,6.0,-107.0,-242.0
21401148,2015-04-05,CHI @ CLE,1610612739,t,W,50.0,27.0,0.649,35.0,83.0,0.422,16.0,37.0,0.432,13.0,22.0,10.0,30.0,40,24.0,9.0,4.0,10.0,17.0,99,1610612741,2014,Regular Season,2014-15,2014,1610612741,94,5,8.0,-109.0,-414.0
21401023,2015-03-20,IND @ CLE,1610612739,t,W,45.0,26.0,0.634,35.0,82.0,0.427,9.0,26.0,0.346,16.0,21.0,11.0,34.0,45,18.0,4.0,6.0,9.0,16.0,95,1610612754,2014,Regular Season,2014-15,2014,1610612754,92,3,10.5,102.0,-575.0
21401005,2015-03-18,BKN @ CLE,1610612739,t,W,44.0,26.0,0.629,45.0,82.0,0.549,15.0,29.0,0.517,12.0,20.0,11.0,32.0,43,32.0,2.0,3.0,11.0,17.0,117,1610612751,2014,Regular Season,2014-15,2014,1610612751,92,25,12.0,-105.0,-850.0
21400995,2015-03-16,MIA vs. CLE,1610612739,f,L,43.0,26.0,0.623,30.0,79.0,0.38,11.0,33.0,0.333,21.0,27.0,7.0,25.0,32,17.0,8.0,4.0,14.0,21.0,92,1610612748,2014,Regular Season,2014-15,2014,1610612748,106,-14,5.5,-105.0,-226.0
21400370,2014-12-17,ATL @ CLE,1610612739,t,L,14.0,10.0,0.583,37.0,82.0,0.451,8.0,30.0,0.267,16.0,21.0,10.0,23.0,33,24.0,3.0,0.0,8.0,17.0,98,1610612737,2014,Regular Season,2014-15,2014,1610612737,127,-29,6.5,-113.0,-300.0
21400326,2014-12-11,OKC vs. CLE,1610612739,f,L,13.0,8.0,0.619,31.0,85.0,0.365,9.0,28.0,0.321,23.0,30.0,15.0,33.0,48,20.0,5.0,4.0,14.0,20.0,94,1610612760,2014,Regular Season,2014-15,2014,1610612760,103,-9,-7.5,-102.0,281.0
21400316,2014-12-10,CHA vs. BOS,1610612738,f,L,7.0,13.0,0.35,38.0,87.0,0.437,5.0,23.0,0.217,6.0,10.0,6.0,39.0,45,26.0,3.0,1.0,14.0,27.0,87,1610612766,2014,Regular Season,2014-15,2014,1610612766,96,-9,-3.0,102.0,137.0
21400406,2014-12-21,PHX @ WAS,1610612764,t,L,19.0,7.0,0.731,34.0,83.0,0.41,3.0,14.0,0.214,21.0,29.0,15.0,27.0,42,11.0,11.0,4.0,11.0,23.0,92,1610612756,2014,Regular Season,2014-15,2014,1610612756,104,-12,5.5,-102.0,-224.0
